timestamp,batch,run,provider,model,probe,words,seed,nonce,size_tokens,calls,cached,error
2026-09-18T21:26:09.268Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,958,2114046547,702621c16528,999,3,0,
2026-09-18T21:26:09.494Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,954,1055357264,2db6b1549be2,995,3,0,
2026-09-18T21:26:10.290Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,966,1871007589,748ccfbe9c4b,1007,3,0,
2026-09-18T21:26:10.567Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,950,1917632941,a8f44a8021e8,994,3,0,
2026-09-18T21:26:10.779Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,970,965805185,a0cdca6a8cdc,1008,3,0,
2026-09-18T21:26:11.834Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,974,459563787,01ce21b53402,1016,3,0,
2026-09-18T21:26:12.902Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,978,43005172,400b0db6c537,1018,3,0,
2026-09-18T21:26:13.236Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,990,1411642286,56ab164ce4e4,1031,2,1028,
2026-09-18T21:26:14.055Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,994,2089726256,064b0ecc0316,1035,2,1032,
2026-09-18T21:26:14.194Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,998,14762290,ed3b4c7e3dbe,1039,2,1036,
2026-09-18T21:26:14.789Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,1002,1382774083,08f3e70b349b,1050,2,1047,
2026-09-18T21:26:15.202Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,986,1241604149,fd0f33c46750,1023,3,0,
2026-09-18T21:26:15.751Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,982,1588573514,242caa24ff3e,1025,3,0,
2026-09-18T21:26:16.294Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,1006,90899506,cf70d6ffb21a,1052,2,1049,
2026-09-18T21:26:17.124Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,whole,1010,1560324577,0984af2f036a,1058,2,1055,
2026-09-18T21:26:22.296Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,958,76140506,299256797cef,997,4,0,
2026-09-18T21:26:23.171Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,954,661990573,1c5e5dbda03c,1000,4,0,
