timestamp,batch,run,provider,model,probe,seed,nonce,turns,request_tokens,request_cached,predict_request_end,next_request_end,probe_input,probe_cached,error
2026-09-18T23:03:03.199Z,2026-09-18T23:00:24.871Z,3,openai_responses_gpt-5.5,gpt-5.5,branch_at_u4,611259653,fa14bb0af442,6,1404;2084;2764;3449;4131;4812,0;0;1536;2560;2560;3584,2560,2560,3449,1536,
2026-09-18T23:03:12.063Z,2026-09-18T23:00:24.871Z,3,openai_responses_gpt-5.5,gpt-5.5,truncate_after_a4,279990725,301b179435db,6,1406;2088;2768;3451;4127;4807,0;0;1536;0;2560;3584,2560,3584,3978,3584,
2026-09-18T23:03:15.458Z,2026-09-18T23:00:24.871Z,1,openai_responses_gpt-5.5,gpt-5.5,edit_u4_after_60s,1571638769,41f87b774dbb,6,1403;2086;2767;3450;4134;4815,0;0;1536;2560;2560;0,2560,2560,4816,1536,
2026-09-18T23:03:50.573Z,2026-09-18T23:00:24.871Z,4,openai_responses_gpt-5.5,gpt-5.5,branch_at_u4,2068938468,cdb7f84da5a4,6,0;2092;2773;3455;4139;4823,0;0;1536;2560;2560;3584,2560,2560,3460,1536,
2026-09-18T23:03:51.554Z,2026-09-18T23:00:24.871Z,4,openai_responses_gpt-5.5,gpt-5.5,edit_u4,1720717838,6a48c4884196,6,1400;2088;2770;3457;4146;4830,0;0;1536;2560;2560;3584,2560,2560,4831,1536,
2026-09-18T23:03:51.938Z,2026-09-18T23:00:24.871Z,2,openai_responses_gpt-5.5,gpt-5.5,edit_u4_after_60s,1851351177,0fd3fc44cdcb,6,1416;2099;2778;3458;4141;4828,0;0;1536;2560;2560;3584,2560,2560,4829,1536,
2026-09-18T23:04:00.241Z,2026-09-18T23:00:24.871Z,4,openai_responses_gpt-5.5,gpt-5.5,truncate_after_a4,619798524,09be549887a4,6,1413;2092;2778;3457;4138;4816,0;0;1536;2560;2560;3584,2560,3584,3988,3584,
2026-09-18T23:04:14.342Z,2026-09-18T23:00:24.871Z,3,openai_responses_gpt-5.5,gpt-5.5,edit_u4_after_60s,1881806030,0bb71d7a8cf5,6,1418;2102;2788;3469;4150;4838,0;0;1536;2560;2560;3584,2560,2560,4839,1536,
2026-09-18T23:05:07.152Z,2026-09-18T23:00:24.871Z,4,openai_responses_gpt-5.5,gpt-5.5,edit_u4_after_60s,1367695094,1962f8191595,6,1408;2088;2766;3445;4126;4809,0;0;1536;2560;2560;0,2560,2560,4810,1536,
2026-09-19T00:14:30.293Z,2026-09-19T00:13:38.488Z,3,openai_responses_gpt-5.5,gpt-5.5,edit_a4,1695217646,75c82c63dc03,6,1394;2080;2760;3445;4126;4810,0;0;1536;2560;2560;3584,2560,3584,4811,0,
2026-09-19T00:14:31.228Z,2026-09-19T00:13:38.488Z,1,openai_responses_gpt-5.5,gpt-5.5,edit_a4,1294836010,738a0543efd3,6,1400;2083;2762;3445;4123;4806,0;0;1536;2560;2560;0,2560,0,4807,3584,
2026-09-19T00:14:31.507Z,2026-09-19T00:13:38.488Z,4,openai_responses_gpt-5.5,gpt-5.5,edit_a4,1723644450,939ef5b3bf20,6,1404;2088;2776;3459;4148;4830,0;0;1536;0;2560;3584,2560,3584,4831,2560,
2026-09-19T00:14:32.358Z,2026-09-19T00:13:38.488Z,0,openai_responses_gpt-5.5,gpt-5.5,edit_a4,1058287028,0acb029f356b,6,1402;2087;2772;3453;4138;4823,0;0;1536;2560;2560;3584,2560,3584,4824,3584,
2026-09-19T00:14:33.277Z,2026-09-19T00:13:38.488Z,2,openai_responses_gpt-5.5,gpt-5.5,edit_a4,591493732,026d6bc7e760,6,1400;2088;2770;3451;4129;4813,0;0;0;2560;2560;3584,2560,3584,4814,3584,
